longitude,latitude,start_date,end_date,label,id
-55.757342025591,-11.561458332288,2000-02-18,2017-03-18,NoClass,1
-55.755215546613,-11.561458332288,2000-02-18,2017-03-18,NoClass,2
-55.753089067636,-11.561458332288,2000-02-18,2017-03-18,NoClass,3
-55.750962588659,-11.561458332288,2000-02-18,2017-03-18,NoClass,4
-55.748836109681,-11.561458332288,2000-02-18,2017-03-18,NoClass,5
-55.746709630704,-11.561458332288,2000-02-18,2017-03-18,NoClass,6
-55.744583151726,-11.561458332288,2000-02-18,2017-03-18,NoClass,7
-55.742456672749,-11.561458332288,2000-02-18,2017-03-18,NoClass,8
-55.740330193772,-11.561458332288,2000-02-18,2017-03-18,NoClass,9
-55.738203714794,-11.561458332288,2000-02-18,2017-03-18,NoClass,10
-55.736077235817,-11.561458332288,2000-02-18,2017-03-18,NoClass,11
-55.73395075684,-11.561458332288,2000-02-18,2017-03-18,NoClass,12
-55.731824277862,-11.561458332288,2000-02-18,2017-03-18,NoClass,13
-55.729697798885,-11.561458332288,2000-02-18,2017-03-18,NoClass,14
-55.727571319908,-11.561458332288,2000-02-18,2017-03-18,NoClass,15
-55.72544484093,-11.561458332288,2000-02-18,2017-03-18,NoClass,16
-55.723318361953,-11.561458332288,2000-02-18,2017-03-18,NoClass,17
-55.721191882976,-11.561458332288,2000-02-18,2017-03-18,NoClass,18
-55.719065403998,-11.561458332288,2000-02-18,2017-03-18,NoClass,19
-55.716938925021,-11.561458332288,2000-02-18,2017-03-18,NoClass,20
-55.714812446044,-11.561458332288,2000-02-18,2017-03-18,NoClass,21
-55.712685967066,-11.561458332288,2000-02-18,2017-03-18,NoClass,22
-55.710559488089,-11.561458332288,2000-02-18,2017-03-18,NoClass,23
-55.708433009112,-11.561458332288,2000-02-18,2017-03-18,NoClass,24
-55.706306530134,-11.561458332288,2000-02-18,2017-03-18,NoClass,25
-55.704180051157,-11.561458332288,2000-02-18,2017-03-18,NoClass,26
-55.702053572179,-11.561458332288,2000-02-18,2017-03-18,NoClass,27
-55.699927093202,-11.561458332288,2000-02-18,2017-03-18,NoClass,28
-55.697800614225,-11.561458332288,2000-02-18,2017-03-18,NoClass,29
-55.695674135247,-11.561458332288,2000-02-18,2017-03-18,NoClass,30
-55.69354765627,-11.561458332288,2000-02-18,2017-03-18,NoClass,31
-55.691421177293,-11.561458332288,2000-02-18,2017-03-18,NoClass,32
-55.689294698315,-11.561458332288,2000-02-18,2017-03-18,NoClass,33
-55.687168219338,-11.561458332288,2000-02-18,2017-03-18,NoClass,34
-55.685041740361,-11.561458332288,2000-02-18,2017-03-18,NoClass,35
-55.682915261383,-11.561458332288,2000-02-18,2017-03-18,NoClass,36
-55.680788782406,-11.561458332288,2000-02-18,2017-03-18,NoClass,37
-55.678662303429,-11.561458332288,2000-02-18,2017-03-18,NoClass,38
-55.676535824451,-11.561458332288,2000-02-18,2017-03-18,NoClass,39
-55.674409345474,-11.561458332288,2000-02-18,2017-03-18,NoClass,40
-55.672282866497,-11.561458332288,2000-02-18,2017-03-18,NoClass,41
-55.670156387519,-11.561458332288,2000-02-18,2017-03-18,NoClass,42
-55.756927322332,-11.559374998955,2000-02-18,2017-03-18,NoClass,43
-55.754800859171,-11.559374998955,2000-02-18,2017-03-18,NoClass,44
-55.75267439601,-11.559374998955,2000-02-18,2017-03-18,NoClass,45
-55.750547932848,-11.559374998955,2000-02-18,2017-03-18,NoClass,46
-55.748421469687,-11.559374998955,2000-02-18,2017-03-18,NoClass,47
-55.746295006526,-11.559374998955,2000-02-18,2017-03-18,NoClass,48
-55.744168543364,-11.559374998955,2000-02-18,2017-03-18,NoClass,49
-55.742042080203,-11.559374998955,2000-02-18,2017-03-18,NoClass,50
-55.739915617042,-11.559374998955,2000-02-18,2017-03-18,NoClass,51
-55.73778915388,-11.559374998955,2000-02-18,2017-03-18,NoClass,52
-55.735662690719,-11.559374998955,2000-02-18,2017-03-18,NoClass,53
-55.733536227558,-11.559374998955,2000-02-18,2017-03-18,NoClass,54
-55.731409764396,-11.559374998955,2000-02-18,2017-03-18,NoClass,55
-55.729283301235,-11.559374998955,2000-02-18,2017-03-18,NoClass,56
